protein,metabolite,n_pair,r,p,q,r_s,p_s,q_s,sign,abs_r,metabolite_label
AGRP,fid_23446,10424,0.2854590213902774,1.1880678456751906e-194,1.5507673169193633e-192,0.27086250954139096,1.0405305374816003e-174,8.932840522571605e-173,+,0.2854590213902774,Polyunsaturated Fatty Acids
ACE2,fid_23617,10146,-0.2891589179776678,1.2641228534424332e-194,1.649744923888194e-192,-0.242664598801133,6.7034168051602725e-136,3.35459828317477e-134,-,0.2891589179776678,Free Cholesterol to Total Lipids in Large LDL percentage
CLEC4A,fid_23563,10298,0.28710696152299053,1.2668420498397668e-194,1.652997218732033e-192,0.3068980196388665,1.7544573210112042e-223,2.6894300938913683e-221,+,0.28710696152299053,Free Cholesterol in Large HDL
CD300LG,fid_23552,10349,0.28639830938749206,1.3962847158163373e-194,1.8215696645607768e-192,0.2658806836471533,5.5216372693172134e-167,4.2744061782762595e-165,+,0.28639830938749206,Total Lipids in Very Large HDL
ERBB2,fid_23442,10370,0.2860915023147354,1.532718706492372e-194,1.9992008207710103e-192,0.2850261969727006,4.769437990630521e-193,5.135856997198757e-191,+,0.2860915023147354,Total Fatty Acids
APOM,fid_23507,10312,0.28685364645111183,1.5703669522225813e-194,2.047573392574892e-192,0.280192396388372,2.5230574876724165e-185,2.47386415476243e-183,+,0.28685364645111183,Free Cholesterol in Medium VLDL
KRT18,fid_23617,10318,-0.2867728580909921,1.574841385756975e-194,2.0523045322673983e-192,-0.27081867395920217,6.773558421989946e-173,5.675122258088726e-171,-,0.2867728580909921,Free Cholesterol to Total Lipids in Large LDL percentage
DSG2,fid_23578,10349,-0.2863172113767568,1.8145731271282185e-194,2.3634490254086435e-192,-0.28847085472061046,1.674177455466009e-197,1.8965160387228932e-195,-,0.2863172113767568,Triglycerides in Small HDL
LEPR,fid_23406,10283,0.28717578488176104,1.9363144781778447e-194,2.5215637103394995e-192,0.2970015234796476,1.8293519270826462e-208,2.3528038965060633e-206,+,0.28717578488176104,HDL Cholesterol
CRIP2,fid_23493,10264,0.28738628756841067,2.23053279319611e-194,2.903150914294609e-192,0.32148512359254555,1.952024044071265e-245,3.8860388509963253e-243,+,0.28738628756841067,Free Cholesterol in Very Large VLDL
PLA2G10,fid_23491,10264,-0.2873789016927238,2.284183966561142e-194,2.9724490681750335e-192,-0.2881408163558879,1.9599075233134078e-195,2.1702017541010615e-193,-,0.2873789016927238,Cholesterol in Very Large VLDL
