dataset,feature,beta_sex,p_sex,q_sex,p_age,q_age,R2
metabolome,fid_23414,-0.25524971841299327,0,0,4.680543995545649e-16,8.207432780921597e-16,0.1772320322129397
metabolome,fid_23525,-0.034573243230806135,2.1325780208011255e-157,9.000202155584411e-157,7.208284300355301e-28,3.205112126407982e-27,0.08141358530531617
metabolome,fid_23413,-0.024957992368118877,2.2412176249317764e-19,3.083222036508355e-19,1.2789391852627103e-26,4.825088744400226e-26,0.02083396895048628
metabolome,fid_23560,-0.12965772132051592,0,0,3.321721727801317e-6,4.054454461875137e-6,0.19554162915106454
metabolome,fid_23532,-0.02317157429241394,6.0272480340401546e-46,1.0140437570783773e-45,1.5240823623314371e-26,5.580831003243056e-26,0.032847169641542995
metabolome,fid_23497,0.015499328956199765,5.0683965298202e-96,1.2620307359252298e-95,4.288890640077701e-10,5.966110443460042e-10,0.04529753751391963
metabolome,fid_23567,-0.06734450255576473,6.412955685602627e-287,5.322753219050181e-286,5.951472190867098e-17,1.0510046634935513e-16,0.12782547571942526
metabolome,fid_23539,-4.6185529596928006e-4,0.5755039951780274,0.5872971098333148,1.1877333865567299e-24,3.360745605143475e-24,0.011324488136378208
metabolome,fid_23504,4.867511886520819e-4,0.6045951124651955,0.6144660530768721,8.927616713944084e-21,1.8524804681433977e-20,0.009455785530548155
metabolome,fid_23574,-0.023395261871393718,3.6374631307259493e-40,5.881352724355593e-40,7.218049784749022e-20,1.4494309648407311e-19,0.02646570158552708
metabolome,fid_23546,-0.001324667270691863,3.0173807569821464e-4,3.4783694837433075e-4,2.686392508599116e-25,8.467237147356706e-25,0.013161014313626818
metabolome,fid_23511,5.76376380832847e-4,0.32813799663127297,0.34044317150494574,1.1370323482984436e-23,2.859808633599116e-23,0.010798168748398118
metabolome,fid_23412,0.031709704944909774,1.5177922474958233e-19,2.1113422884159775e-19,9.93465756860796e-18,1.7925577786836103e-17,0.015469293204438905
metabolome,fid_23553,-0.034853421853011525,0,0,0.011364149465734169,0.011939549438682735,0.16324471725610668
metabolome,fid_23490,0.010126335122221778,1.942541133927131e-93,4.789037052949066e-93,6.610347841178815e-9,8.802013970339705e-9,0.04376425499532477
metabolome,fid_23518,-0.0078278297595296,3.744861926987187e-52,6.660504427284354e-52,1.064503169090065e-35,9.140044451842283e-35,0.038927498117689474
metabolome,fid_23579,0.9207776501301801,1.8643725216049482e-32,2.865609616540939e-32,1.2777726429426029e-18,2.3922209631030684e-18,0.022252508889834655
metabolome,fid_23609,0.10335973294676859,6.230159829891028e-9,7.494250230158773e-9,6.344379431706974e-8,8.101284505102751e-8,0.007201324982218704
metabolome,fid_23634,1.387150049773906,9.703337796970083e-130,3.2215081485940674e-129,1.5773931932488028e-23,3.927709051189519e-23,0.06671913320702316
metabolome,fid_23614,0.13052261405433957,3.503826535058196e-19,4.79369674301918e-19,1.1981146116833218e-9,1.639178781918391e-9,0.012449059785778704
metabolome,fid_23589,1.3250659768653605,7.944386523107494e-93,1.9393649453468298e-92,1.435180734640985e-10,2.0420571595748873e-10,0.04462301684226122
metabolome,fid_23639,0.7059912646999894,3.37705801747492e-185,1.7518488465651145e-184,1.3531659407320587e-6,1.6846915962114132e-6,0.08309839026546262
metabolome,fid_23619,0.10713576719047108,1.513434407710418e-11,1.8842258375994706e-11,1.440432863753666e-26,5.353250493651684e-26,0.01638538304347481
metabolome,fid_23594,-0.9002223891378346,1.7292573934158954e-144,6.332133690596441e-144,5.167379089361776e-19,9.897518409623711e-19,0.07213042785106172
metabolome,fid_23644,-0.5982556396092867,2.4093096771244354e-135,8.107001481134924e-135,3.4815630390774653e-22,7.67176280292291e-22,0.066534606645684
metabolome,fid_23624,-0.26570982271956045,9.842135321996158e-15,1.2966622725804462e-14,1.6812693693933178e-4,1.920348958618973e-4,0.007630121486881358
metabolome,fid_23599,-0.9593677985557332,4.410625018925247e-127,1.426293025600502e-126,9.472734009335791e-38,1.1793553841623059e-36,0.07218515324671082
metabolome,fid_23629,-4.4685561836483,9.297831749019802e-304,8.574667057429373e-303,6.3932606159004005e-6,7.653470641149999e-6,0.12910875681921807
metabolome,fid_23584,0.3032340208280342,2.6877998343921023e-10,3.313179003780364e-10,4.2890007474353845e-6,5.209566761519076e-6,0.006435661113806113
metabolome,fid_23604,0.36286737633346444,1.2666945670091733e-100,3.355393055162598e-100,4.2530300926434744e-11,6.193008731393129e-11,0.04944748102366947
metabolome,fid_23446,-0.3392357503390768,1.3766372012315115e-104,3.940030610421223e-104,3.3106424452997537e-35,2.3552856253703963e-34,0.06158976060114796
metabolome,fid_23458,-0.14584397375414468,3.58557933608961e-104,1.0031564659396775e-103,3.1032727418426616e-17,5.5193922337058764e-17,0.052639537424351235
metabolome,fid_23453,-1.3001581393358568,3.7340546966232265e-72,7.49822273757406e-72,1.1256055058528116e-18,2.1233012951314402e-18,0.039444522923890224
metabolome,fid_23472,-0.003918365365805355,8.252994240092623e-13,1.048467125399522e-12,0.002163385260605778,0.00234209969517756,0.006510991912334729
metabolome,fid_23402,-0.10987201550773337,5.1423844727240065e-40,8.260991830375984e-40,3.2346215513940356e-26,1.1343954454888942e-25,0.029909338042297007
metabolome,fid_23448,-0.1254637297649604,3.323514554676323e-12,4.1585684628864545e-12,6.35973677153235e-36,6.090670985044443e-35,0.021264950029926344
