protein_metabolite_from,protein_metabolite_to,r,q,abs_r,sign
FGFBP1,fid_23546,0.434969030759656,0,0.434969030759656,+
MFGE8,fid_23497,0.4349521992597182,0,0.4349521992597182,+
IGSF9,fid_23481,0.4349008456555083,0,0.4349008456555083,+
NPY,fid_23489,0.4348319832279616,0,0.4348319832279616,+
ADIPOQ,fid_23559,0.4347866379722367,0,0.4347866379722367,+
MXRA8,fid_23552,0.4347706287141663,0,0.4347706287141663,+
MFGE8,fid_23501,0.4345925850857254,0,0.4345925850857254,+
APOA1,fid_23437,0.43453502547639433,0,0.43453502547639433,+
AGRP,fid_23490,0.4344091636617788,0,0.4344091636617788,+
CCN1,fid_23410,0.4343336914525733,0,0.4343336914525733,+
AGRP,fid_23493,0.4341742851201948,0,0.4341742851201948,+
AGRP,fid_23497,0.4339856053974997,0,0.4339856053974997,+
PLA2G7,fid_23498,0.4337273061058264,0,0.4337273061058264,+
AGRP,fid_23489,0.43359867721084033,0,0.43359867721084033,+
MXRA8,fid_23553,0.43349018921398497,0,0.43349018921398497,+
IGSF9,fid_23483,0.4334288120987119,0,0.4334288120987119,+
IGSF9,fid_23617,-0.4332562204299434,0,0.4332562204299434,-
NPY,fid_23431,0.4332453098430063,0,0.4332453098430063,+
