module_protein,category,subcategory,ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count
1,Human Diseases,Cardiovascular disease,hsa05418,Fluid shear stress and atherosclerosis,17/461,142/9521,0.11971830985915492,2.472533683663805,3.9878239765747274,4.886896811576764e-4,0.002437430099738854,0.0014467120775626579,208/10000/653689/2950/8517/3553/5608/4217/5601/4790/5154/5155/5175/6385/6714/7157/7422,17
1,Human Diseases,Cancer: specific types,hsa05211,Renal cell carcinoma,11/461,70/9521,0.15714285714285714,3.2454601797334988,4.2532443552818595,4.935606120966526e-4,0.002437430099738854,0.0014467120775626579,208/10000/369/1026/1399/6923/5604/10298/5155/7040/7422,11
1,Human Diseases,Cardiovascular disease,hsa05416,Viral myocarditis,11/461,70/9521,0.15714285714285714,3.2454601797334988,4.2532443552818595,4.935606120966526e-4,0.002437430099738854,0.0014467120775626579,25/637/836/841/842/958/959/1605/1756/1981/8672,11
1,Environmental Information Processing,Signal transduction,hsa04014,Ras signaling pathway,24/461,238/9521,0.10084033613445378,2.0826482436792504,3.8153687392946463,5.164603698406231e-4,0.0025118754351339395,0.0014908983563182263,25/208/10000/284/382/598/627/8315/1950/2247/8517/27040/5604/5601/4790/10298/5154/5155/5321/6237/56034/6789/7422/7424,24
1,Environmental Information Processing,Signal transduction,hsa04370,VEGF signaling pathway,10/461,60/9521,0.16666666666666666,3.442154736080983,4.280407531927872,5.467504797253286e-4,0.0026195060297288133,0.0015547814113163311,208/10000/842/3315/5604/9261/5321/5534/6714/7422,10
1,Human Diseases,Immune disease,hsa05323,Rheumatoid arthritis,13/461,95/9521,0.1368421052631579,2.8261902043612284,4.035050104715513,6.251307967891233e-4,0.0029256507858735296,0.0017364905467883549,284/9296/9550/6352/2919/2921/6374/6372/6387/3553/4312/7040/7422,13
1,Organismal Systems,Immune system,hsa04622,RIG-I-like receptor signaling pathway,11/461,72/9521,0.1527777777777778,3.1553085080742354,4.140831944794528,6.318444165612606e-4,0.0029256507858735296,0.0017364905467883549,64343/843/841/8772/8517/5601/57506/4790/10010/7186/7706,11
1,Human Diseases,Neurodegenerative disease,hsa05010,Alzheimer disease,34/461,391/9521,0.08695652173913043,1.7959068188248608,3.625100519004949,6.379923832122962e-4,0.0029256507858735296,0.0017364905467883549,208/10000/351/369/8312/8678/637/836/840/841/842/1329/1340/1457/22943/5610/9451/8772/2597/8517/3553/3708/5604/4217/5601/4698/4713/4790/4726/5330/10105/5534/6390/7186,34
1,Human Diseases,Infectious disease: viral,hsa05164,Influenza A,19/461,173/9521,0.10982658959537572,2.26824069314007,3.797259014096342,6.93274765970115e-4,0.003134383096850802,0.0018603815069027547,208/10000/581/637/10241/836/841/842/6352/5610/8772/8517/3553/51135/5604/57506/4790/6773/7706,19
1,NA,NA,hsa04517,IgSF CAM signaling,28/461,302/9521,0.09271523178807947,1.9148410452371032,3.6442825663969383,7.109162954776594e-4,0.003169501817337898,0.0018812258696119348,25/208/10000/351/382/10666/8832/1796/9046/50848/2308/28964/83700/4067/4133/5604/5601/9788/92154/4627/8440/10298/56288/91584/5777/9693/6714/10451,28
1,Environmental Information Processing,Signal transduction,hsa04066,HIF-1 signaling pathway,14/461,110/9521,0.12727272727272726,2.628554525734569,3.87512394343238,8.212621877022543e-4,0.0036113035924989537,0.002143452861919366,208/10000/284/1026/1950/1977/6923/2023/2026/2597/5604/4790/5054/7422,14
1,Environmental Information Processing,Signal transduction,hsa04072,Phospholipase D signaling pathway,17/461,149/9521,0.11409395973154363,2.3563743830889954,3.764102240824242,8.513182666158805e-4,0.003692880588968887,0.0021918720662514133,208/10000/382/1606/8525/1759/26052/1950/2149/2778/5604/5154/5155/5321/5330/6237/56034,17
1,Cellular Processes,Cell growth and death,hsa04115,p53 signaling pathway,11/461,75/9521,0.14666666666666667,3.0290961677512653,3.9793682429018675,8.986876785408301e-4,0.003846383264154753,0.0022829820325037226,581/598/637/836/841/842/1026/5728/50484/5054/7157,11
1,Human Diseases,Cancer: specific types,hsa05214,Glioma,11/461,76/9521,0.14473684210526316,2.9892396392282228,3.927333280304512,0.0010060563717541068,0.004200211372448817,0.002492993141214087,208/10000/369/581/1026/1950/5604/5154/5155/5728/7157,11
1,Environmental Information Processing,Signal transduction,hsa04071,Sphingolipid signaling pathway,15/461,125/9521,0.12,2.478351409978308,3.752891600736602,0.0010075273385624888,0.004200211372448817,0.002492993141214087,208/10000/427/581/637/5604/4217/5601/4790/5330/5525/5728/10558/7157/7186,15
1,Organismal Systems,Aging,hsa04211,Longevity regulating pathway,12/461,90/9521,0.13333333333333333,2.7537237888647867,3.7705822040667174,0.0012637996473397462,0.005201021625590494,0.003087013983380487,84335/208/10000/581/1977/2308/2309/4790/5564/6648/6794/7157,12
1,Human Diseases,Infectious disease: bacterial,hsa05152,Tuberculosis,19/461,182/9521,0.1043956043956044,2.1560749445781986,3.552027612733308,0.0012811948470909883,0.005205867669825409,0.003089890304110178,208/10000/23365/581/637/843/836/841/842/11151/8772/3553/3654/51135/5601/4790/5534/6714/7040,19
1,Human Diseases,Infectious disease: bacterial,hsa05134,Legionellosis,9/461,56/9521,0.16071428571428573,3.319220638363806,3.926274048545062,0.0013443683125500584,0.005347123677952297,0.0031737313845199727,836/840/841/842/2919/2921/3303/3553/4790,9
1,Human Diseases,Infectious disease: parasitic,hsa05146,Amoebiasis,13/461,103/9521,0.1262135922330097,2.6066802855758904,3.6980567554115464,0.0013492741991094582,0.005347123677952297,0.0031737313845199727,384/836/2919/2921/2778/3315/3553/4790/5330/5052/5269/5272/7040,13
1,Cellular Processes,Cellular community - eukaryotes,hsa04530,Tight junction,18/461,170/9521,0.10588235294117647,2.186780655863213,3.5218489798783588,0.001450850889076329,0.005679550431628069,0.0033710399348243327,51421/50848/3059/83700/4217/5601/57530/79778/4627/56288/5564/9693/23513/6714/6794/93643/7408/7454,18
1,Human Diseases,Infectious disease: viral,hsa05165,Human papillomavirus infection,29/461,333/9521,0.08708708708708708,1.798603375609883,3.346166932560959,0.0015392121574045433,0.005952856656950101,0.0035332580911886153,208/10000/9296/9550/8312/581/836/841/1026/1280/1950/5610/8772/2308/2778/8517/3655/3693/5604/4790/4799/56288/5525/5728/23513/6773/10474/7157/7422,29
