metabolite,metabolite_label,module_protein,k,K,n,p_fisher,q_fisher
fid_23582,Free Cholesterol to Total Lipids in Chylomicrons and Extremely Large VLDL percentage,3,3,1099,3,0.09969230635674145,0.18508276285639763
fid_23584,Phospholipids to Total Lipids in Very Large VLDL percentage,3,3,1099,3,0.09969230635674145,0.18508276285639763
fid_23592,Free Cholesterol to Total Lipids in Large VLDL percentage,3,4,1099,5,0.145375430656147,0.26876130037270873
fid_23477,Acetone,3,2,1099,2,0.21510637114531164,0.39272532491260215
fid_23609,Phospholipids to Total Lipids in IDL percentage,3,2,1099,2,0.21510637114531164,0.39272532491260215
fid_23614,Phospholipids to Total Lipids in Large LDL percentage,3,2,1099,2,0.21510637114531164,0.39272532491260215
fid_23593,Triglycerides to Total Lipids in Large VLDL percentage,3,3,1099,4,0.2602280997714431,0.47314199958444203
fid_23459,Omega-6 Fatty Acids to Omega-3 Fatty Acids ratio,3,1,1099,1,0.4639088222878852,0.8297556171002824
fid_23473,Citrate,3,1,1099,1,0.4639088222878852,0.8297556171002824
fid_23579,Phospholipids to Total Lipids in Chylomicrons and Extremely Large VLDL percentage,3,1,1099,1,0.4639088222878852,0.8297556171002824
fid_23580,Cholesterol to Total Lipids in Chylomicrons and Extremely Large VLDL percentage,3,1,1099,1,0.4639088222878852,0.8297556171002824
fid_23472,Pyruvate,1,5,765,14,0.4909364662625666,0.8745426929373655
fid_23516,Concentration of Very Small VLDL Particles,1,3,765,23,0.991396186827523,0.9999989535495869
fid_23517,Total Lipids in Very Small VLDL,1,3,765,24,0.9937178157293113,0.9999989535495869
fid_23557,Triglycerides in Very Large HDL,1,3,765,24,0.9937178157293113,0.9999989535495869
fid_23403,VLDL Cholesterol,1,2,765,25,0.9992806427905205,0.9999989535495869
