name,type
HTRA2,protein
HYAL1,protein
HYOU1,protein
ICA1,protein
ICAM1,protein
ICAM2,protein
ICAM3,protein
ICAM4,protein
ICAM5,protein
ICOSLG,protein
ID4,protein
IDI2,protein
IDO1,protein
IDS,protein
IDUA,protein
IFI30,protein
IFIT1,protein
IFIT3,protein
IFNAR1,protein
IFNG,protein
IFNGR1,protein
IFNGR2,protein
IFNL1,protein
IFNL2,protein
IFNLR1,protein
IFNW1,protein
IFT20,protein
IGBP1,protein
IGDCC3,protein
IGDCC4,protein
IGF1R,protein
IGF2BP3,protein
IGF2R,protein
IGFBP1,protein
IGFBP2,protein
IGFBP3,protein
IGFBP4,protein
IGFBP6,protein
IGFBP7,protein
IGFBPL1,protein
IGFL4,protein
IGHMBP2,protein
IGLC2,protein
IGLON5,protein
IGSF21,protein
IGSF3,protein
IGSF8,protein
IGSF9,protein
IKBKG,protein
IKZF2,protein
IL10,protein
IL10RA,protein
IL10RB,protein
IL11,protein
IL12A_IL12B,protein
IL12B,protein
IL12RB1,protein
IL12RB2,protein
IL13,protein
IL13RA1,protein
IL13RA2,protein
IL15,protein
IL15RA,protein
IL16,protein
IL17A,protein
IL17C,protein
IL17D,protein
IL17F,protein
IL17RA,protein
IL17RB,protein
IL18,protein
IL18BP,protein
IL18R1,protein
IL18RAP,protein
IL19,protein
IL1A,protein
IL1B,protein
IL1R1,protein
IL1R2,protein
IL1RAP,protein
IL1RL1,protein
IL1RL2,protein
IL1RN,protein
IL2,protein
IL20,protein
IL20RA,protein
IL20RB,protein
IL21R,protein
IL22,protein
IL22RA1,protein
IL24,protein
IL25,protein
IL2RA,protein
IL2RB,protein
IL2RG,protein
IL3,protein
IL31,protein
IL31RA,protein
IL32,protein
IL33,protein
IL34,protein
IL36A,protein
IL36G,protein
IL3RA,protein
IL4,protein
IL4R,protein
IL5,protein
IL5RA,protein
IL6,protein
IL6R,protein
IL6ST,protein
IL7,protein
IL7R,protein
IL9,protein
ILKAP,protein
IMMT,protein
IMPA1,protein
IMPACT,protein
IMPG1,protein
ING1,protein
INHBB,protein
INHBC,protein
INPP1,protein
INPP5D,protein
INPP5J,protein
INPPL1,protein
INSL3,protein
INSL4,protein
INSL5,protein
INSR,protein
IPCEF1,protein
IQGAP2,protein
IRAG2,protein
IRAK1,protein
IRAK4,protein
ISLR2,protein
ISM1,protein
ISM2,protein
IST1,protein
ITGA11,protein
ITGA2,protein
ITGA5,protein
ITGA6,protein
ITGAL,protein
ITGAM,protein
ITGAV,protein
ITGAX,protein
ITGB1,protein
ITGB1BP1,protein
ITGB1BP2,protein
ITGB2,protein
ITGB5,protein
ITGB6,protein
ITGB7,protein
ITGBL1,protein
ITIH1,protein
ITIH3,protein
ITIH4,protein
ITIH5,protein
ITM2A,protein
ITPA,protein
ITPR1,protein
ITPRIP,protein
IVD,protein
IZUMO1,protein
JAM2,protein
JAM3,protein
JCHAIN,protein
JMJD1C,protein
JPT2,protein
JUN,protein
KAZALD1,protein
KAZN,protein
KCNC4,protein
KCNH2,protein
KCNIP4,protein
KCTD5,protein
KDM3A,protein
KDR,protein
KEL,protein
KHDC3L,protein
KHK,protein
KIAA0319,protein
KIAA1549,protein
KIAA1549L,protein
KIAA2013,protein
KIF1C,protein
KIF20B,protein
KIF22,protein
KIFBP,protein
KIR2DL2,protein
KIR2DL3,protein
KIR2DS4,protein
KIR3DL1,protein
KIR3DL2,protein
KIRREL1,protein
KIRREL2,protein
KIT,protein
KITLG,protein
KLB,protein
KLF4,protein
KLHL41,protein
KLK1,protein
KLK10,protein
KLK11,protein
KLK12,protein
KLK13,protein
KLK14,protein
KLK15,protein
KLK3,protein
KLK4,protein
KLK6,protein
KLK7,protein
KLK8,protein
KLKB1,protein
KLRB1,protein
KLRC1,protein
KLRD1,protein
KLRF1,protein
KLRK1,protein
KRT14,protein
KRT17,protein
KRT18,protein
KRT19,protein
KRT5,protein
KRT6C,protein
KRT8,protein
KYAT1,protein
KYNU,protein
L1CAM,protein
L3HYPDH,protein
LACRT,protein
LACTB2,protein
LAG3,protein
LAIR1,protein
LAIR2,protein
LAMA1,protein
LAMA4,protein
LAMB1,protein
LAMP1,protein
LAMP2,protein
LAMP3,protein
LAMTOR5,protein
LAP3,protein
LARP1,protein
LAT,protein
LAT2,protein
LATS1,protein
LAYN,protein
LBP,protein
LBR,protein
LCAT,protein
LCN15,protein
LCN2,protein
LCP1,protein
LDLR,protein
LDLRAP1,protein
LECT2,protein
LEFTY2,protein
LEG1,protein
LELP1,protein
LEO1,protein
LEP,protein
LEPR,protein
LETM1,protein
LGALS1,protein
LGALS3,protein
LGALS3BP,protein
LGALS4,protein
LGALS7_LGALS7B,protein
LGALS8,protein
LGALS9,protein
LGMN,protein
LHB,protein
LHPP,protein
LIF,protein
LIFR,protein
LILRA2,protein
LILRA3,protein
LILRA4,protein
LILRA5,protein
LILRA6,protein
LILRB1,protein
LILRB2,protein
LILRB4,protein
LILRB5,protein
LIPF,protein
LMNB1,protein
LMNB2,protein
LMOD1,protein
LMOD2,protein
LONP1,protein
LPA,protein
LPCAT2,protein
LPL,protein
LPO,protein
LPP,protein
LRCH4,protein
LRFN2,protein
LRG1,protein
LRIG1,protein
LRIG3,protein
LRP1,protein
LRP11,protein
LRP2,protein
