protein,metabolite,r,p,q,r_s,p_s,q_s,sign,abs_r
MXRA8,fid_23566,0.37066652618451534,0,0,0.38326753574442174,0,0,+,0.37066652618451534
PLTP,fid_23566,0.434716572748844,0,0,0.44626880492301696,0,0,+,0.434716572748844
SERPINA6,fid_23566,0.38132874829423796,0,0,0.3694065851081389,0,0,+,0.38132874829423796
SSC4D,fid_23566,-0.3807996753274527,0,0,-0.3847956227386386,0,0,-,0.3807996753274527
FGFBP1,fid_23538,0.4102567571292282,0,0,0.41242088246080694,0,0,+,0.4102567571292282
LDLR,fid_23538,0.4156591914553293,0,0,0.4229447030933768,0,0,+,0.4156591914553293
PLA2G7,fid_23538,0.5493563201523478,0,0,0.5623915072041219,0,0,+,0.5493563201523478
TFPI,fid_23538,0.3792680300107626,0,0,0.4162932539852281,0,0,+,0.3792680300107626
LCAT,fid_23503,0.3736463535286996,0,0,0.38220698960345567,0,0,+,0.3736463535286996
LDLR,fid_23503,0.5946439704050708,0,0,0.6033314172104205,0,0,+,0.5946439704050708
NPY,fid_23503,0.3702299921126481,0,0,0.3672085369533033,7.5e-322,1.926e-319,+,0.3702299921126481
PLA2G7,fid_23503,0.5029860340643304,0,0,0.5191157761771861,0,0,+,0.5029860340643304
ERBB3,fid_23573,0.39530958488545814,0,0,0.41094683672623805,0,0,+,0.39530958488545814
F7,fid_23573,0.3740152418968419,0,0,0.3763264000829256,0,0,+,0.3740152418968419
LCAT,fid_23573,0.38859908151272016,0,0,0.40562901092371273,0,0,+,0.38859908151272016
MAMDC4,fid_23573,0.465549381789496,0,0,0.46885297184490693,0,0,+,0.465549381789496
PROC,fid_23573,0.3922071293824694,0,0,0.39301527443381595,0,0,+,0.3922071293824694
FGFBP1,fid_23545,0.4268012554479172,0,0,0.43125125417945526,0,0,+,0.4268012554479172
LDLR,fid_23545,0.38592838586631856,0,0,0.3922822941952074,0,0,+,0.38592838586631856
PLA2G7,fid_23545,0.5813754333249757,0,0,0.595471161737127,0,0,+,0.5813754333249757
TFPI,fid_23545,0.3744353946039832,0,0,0.41055441641395335,0,0,+,0.3744353946039832
AGRP,fid_23510,0.39408281380560367,0,0,0.3886099878308366,0,0,+,0.39408281380560367
CCN1,fid_23510,0.3856030660668613,0,0,0.3749634089939749,0,0,+,0.3856030660668613
LCAT,fid_23510,0.37592618312013326,0,0,0.387995595849088,0,0,+,0.37592618312013326
LDLR,fid_23510,0.6529724873932332,0,0,0.6601941157806266,0,0,+,0.6529724873932332
NPY,fid_23510,0.4047951693734497,0,0,0.4063617366479664,0,0,+,0.4047951693734497
PLA2G7,fid_23510,0.46026677328488314,0,0,0.4746639559912004,0,0,+,0.46026677328488314
AGRP,fid_23424,0.43779827676419,0,0,0.4419496738045175,0,0,+,0.43779827676419
CCN1,fid_23424,0.4057310237775256,0,0,0.4017684929703477,0,0,+,0.4057310237775256
CES1,fid_23424,0.37558543056877924,0,0,0.38032206966893267,0,0,+,0.37558543056877924
LCAT,fid_23424,0.3759917554612122,0,0,0.3878141286610126,0,0,+,0.3759917554612122
LDLR,fid_23424,0.6673436434525772,0,0,0.6799595179947748,0,0,+,0.6673436434525772
MFGE8,fid_23424,0.43427972246716534,0,0,0.419401823041907,0,0,+,0.43427972246716534
NPY,fid_23424,0.43715275806236653,0,0,0.4490162003893145,0,0,+,0.43715275806236653
PLA2G7,fid_23424,0.42386410541199576,0,0,0.4381410913538592,0,0,+,0.42386410541199576
ADIPOQ,fid_23552,0.5089354651631375,0,0,0.5254244164032794,0,0,+,0.5089354651631375
APCS,fid_23552,-0.44459974957378945,0,0,-0.4326283202307511,0,0,-,0.44459974957378945
APOA1,fid_23552,0.38304438886329417,0,0,0.4397821694069196,0,0,+,0.38304438886329417
CDHR2,fid_23552,-0.38922746006286835,0,0,-0.4227779535009832,0,0,-,0.38922746006286835
CLUL1,fid_23552,0.3770733186575362,0,0,0.3867039966043311,0,0,+,0.3770733186575362
EPHA1,fid_23552,-0.3973539398608086,0,0,-0.4099285183054231,0,0,-,0.3973539398608086
LDLR,fid_23552,-0.388958307246881,0,0,-0.37682004576609335,0,0,-,0.388958307246881
LPL,fid_23552,0.4013456222320935,0,0,0.4241851908547418,0,0,+,0.4013456222320935
MXRA8,fid_23552,0.47904667713648996,0,0,0.48949978380617765,0,0,+,0.47904667713648996
PLTP,fid_23552,0.5341688106914553,0,0,0.5591320298533243,0,0,+,0.5341688106914553
PON3,fid_23552,0.4080513309420924,0,0,0.4693992552943037,0,0,+,0.4080513309420924
PRAP1,fid_23552,-0.4224586665612623,0,0,-0.4424084731477759,0,0,-,0.4224586665612623
RTN4R,fid_23552,-0.3942422682560362,0,0,-0.4231376121238862,0,0,-,0.3942422682560362
SERPINF1,fid_23552,-0.3964676655589192,0,0,-0.4174416023289406,0,0,-,0.3964676655589192
