protein,module_protein,ENTREZID
IFI30,3,10437
IGFBP4,3,3487
CLSTN2,3,64084
IGFBP6,3,3489
IGFBP7,3,3490
IGBP1,2,3476
IGF2BP3,4,10643
HEPH,3,9843
HMCN2,3,256158
IGF2R,3,3482
IGFBPL1,3,347252
IGF1R,3,3480
HJV,3,148738
IFNGR2,3,3460
IGFBP2,3,3485
IGSF3,3,3321
IGHMBP2,1,3508
IGSF8,3,93185
HDAC8,4,55869
HSP90B1,4,7184
IL10RB,3,3588
IL12A_IL12B,3,NA
BRME1,4,79173
CNTF,4,1270
CORO6,3,84940
CTLA4,4,1493
F2,3,2147
GUK1,4,2987
HMGCS1,4,3157
HTR1B,4,3351
GIMAP7,2,168537
CCL20,3,6364
IGSF9,3,57549
EBI3_IL27,3,NA
ICAM3,3,3385
IL12B,3,3593
IL12RB1,3,3594
IL15RA,3,3601
IL18,2,3606
DEFB4A_DEFB4B,3,NA
IKBKG,1,8517
IL18BP,3,10068
CEACAM16,3,388551
IL16,2,3603
IL18R1,3,8809
IL19,3,29949
IL31,6,386653
IL1RN,3,3557
ANGPTL1,3,9068
ERBB4,3,2066
GDF2,3,2658
IL1R1,3,3554
IL1B,1,3553
IL7,1,3574
ILKAP,1,80895
IMPA1,1,3612
IMPACT,2,55364
IL2RA,3,3559
IMMT,3,10989
ING1,1,3621
INPP1,1,3628
INPP5D,2,3635
EDDM3B,7,64184
IFNL2,4,282616
INPPL1,1,3636
IPCEF1,1,26034
IQGAP2,1,10788
IRAG2,1,4033
IRAK1,1,3654
IL3RA,3,3563
IRAK4,1,51135
ENPP6,3,133121
ITGA11,3,22801
IL13RA1,3,3597
IL1R2,3,7850
IL6ST,3,3572
INHBC,3,3626
ISM1,3,140862
IST1,1,9798
IGSF21,3,84966
ITGA5,3,3678
CRTAC1,3,55118
FGFBP1,3,9982
HPGDS,3,27306
ITGA2,3,3673
ITGAM,3,3684
IL7R,3,3575
ITGAV,3,3685
ITGA6,1,3655
IL32,3,9235
ITGB1,3,3688
ITGB1BP2,1,26548
IGDCC4,3,57722
ITGB2,3,3689
IL13RA2,4,3598
C9,3,735
FGL1,3,2267
F12,3,2161
IL4R,3,3566
ITGB5,1,3693
INHBB,3,3625
ITPA,1,3704
ITPR1,1,3708
CD5L,3,922
JAM3,1,83700
IKZF2,4,22807
JPT2,1,90861
KAZN,1,23254
JUN,4,3725
FCN2,3,2220
HEPACAM2,3,253012
KCTD5,2,54442
EVPL,4,2125
ITIH1,4,3697
KHK,3,3795
KIF22,1,3835
KIR2DL2,8,3803
JAM2,3,58494
ITPRIP,4,85450
FAM3D,3,131177
KLK10,3,5655
KLK1,3,3816
INSL3,7,3640
KIAA0319,3,9856
KLK11,3,11012
GPR15L,3,NA
KLK13,3,26085
KLK6,3,5653
KLK7,3,5650
GZMH,3,2999
KLRB1,3,3820
KLRD1,3,3824
ITGBL1,3,9358
AKR1B10,3,57016
ALDH3A1,3,218
KRT18,3,3875
KIFBP,1,26128
KRT8,3,3856
KYAT1,1,883
ISLR2,3,57611
ITGB7,3,3695
KIT,3,3815
KLK8,3,11202
KYNU,3,8942
L3HYPDH,1,112849
LACTB2,1,51110
LAMTOR5,1,10542
LAP3,1,51056
LAMA4,3,3910
LARP1,1,23367
ITGB1BP1,1,9270
LAT,1,27040
LAT2,1,7462
GGT5,3,2687
KRT19,3,3880
LAIR1,3,3903
IL6,3,3569
LATS1,1,9113
KLKB1,3,3818
CSF3R,3,1441
FCGR3B,3,2215
LAYN,3,143903
KDR,3,3791
LAMP2,3,3920
LCAT,3,3931
LBR,2,3930
LDLR,3,3949
LDLRAP1,1,26119
LEP,3,3952
LETM1,1,3954
LGALS1,3,3956
C1QTNF5,3,114902
LGALS3,3,3958
KRT5,3,3852
IFNLR1,3,163702
LAG3,3,3902
LAMP3,3,27074
LCN2,3,3934
LGALS4,3,3960
LGALS8,1,3964
HMBS,2,3145
L1CAM,3,3897
LGALS9,3,3965
LILRA2,3,11027
LILRA3,3,11026
LILRA5,3,353514
LILRB1,3,10859
LILRB4,3,11006
LGMN,1,5641
LMNB1,2,4001
LEG1,9,NA
LONP1,1,9361
KIF1C,2,10749
LHPP,2,64077
LPP,1,4026
ITIH3,3,3699
LMNB2,3,84823
LRP1,3,4035
LRP11,3,84918
LRCH4,2,4034
LRPAP1,1,4043
LRRC59,1,55379
ITGB6,3,3694
KLF4,2,9314
LPCAT2,2,54947
CLUL1,3,27098
KAZALD1,3,81621
LRRC25,3,126364
LGALS7_LGALS7B,3,NA
LTBR,3,4055
LY9,3,4063
LSP1,2,4046
LRRFIP1,1,9208
LSM1,1,27257
LYN,1,4067
LZTFL1,1,54585
MAD1L1,2,8379
LTBP2,3,4053
IDUA,3,3425
MAGED1,1,9500
MANF,1,7873
MAP2,1,4133
MAP2K1,1,5604
MAP2K6,1,5608
LYSMD3,1,116068
MAP3K5,1,4217
